PS C:\Users\chvbs\Desktop\mini_project\testing_frontend - Copy> pip list
Package                            Version
googleapis-common-protos           1.61.0
googletrans                        4.0.2
graphviz                           0.20.3
greenlet                           3.0.0
grpcio                             1.59.2
grpcio-status                      1.59.2
gunicorn                           21.2.0
h11                                0.14.0
h2                                 4.2.0
h5py                               3.11.0
hpack                              4.1.0
httpcore                           1.0.2
httpx                              0.28.1
huggingface-hub                    0.21.4
hyperframe                         6.1.0
idna                               3.7
ImageHash                          4.3.1
imageio                            2.36.0
inexactsearch                      1.0.2
iniconfig                          2.0.0
intel-openmp                       2021.4.0
ipykernel                          6.27.1
ipython                            8.18.1
isoduration                        20.11.0
itsdangerous                       2.2.0
Janome                             0.5.0
jax                                0.4.28
jaxlib                             0.4.28
jdcal                              1.4.1
jedi                               0.19.1
Jinja2                             3.1.5
jiter                              0.6.1
jmespath                           1.0.1
joblib                             1.4.2
json5                              0.9.14
jsonpointer                        2.4
jsonschema                         4.20.0
jsonschema-specifications          2023.11.2
jupyter_client                     8.6.0
jupyter_core                       5.5.1
jupyter-events                     0.9.0
jupyter-lsp                        2.2.1
jupyter_server                     2.12.1
jupyter_server_terminals           0.5.0
jupyterlab                         4.0.9
jupyterlab_pygments                0.3.0
jupyterlab_server                  2.25.2
kaggle                             1.6.17
keras                              3.4.1
Keras-Applications                 1.0.8
Keras-Preprocessing                1.1.2
key                                0.4
keyboard                           0.13.5
kiwisolver                         1.4.5
lambdaprompt                       0.6.1
langcodes                          3.3.0
langdetect                         1.0.9
language-tool-python               2.8
lazy_loader                        0.4
libclang                           18.1.1
lightgbm                           4.5.0
limits                             4.0.1
loguru                             0.7.2
lxml                               5.2.2
Mako                               1.3.6
Markdown                           3.6
markdown-it-py                     3.0.0
MarkupSafe                         3.0.2
mathparse                          0.1.2
matplotlib                         3.7.1
matplotlib-inline                  0.1.6
mdurl                              0.1.2
mediapipe                          0.10.20
mistune                            3.0.2
mkl                                2021.4.0
ml-dtypes                          0.3.2
more-itertools                     10.3.0
mouse                              0.7.1
MouseInfo                          0.1.3
mpld3                              0.5.10
mpmath                             1.3.0
mss                                10.0.0
multidict                          6.1.0
murmurhash                         1.0.10
mysql                              0.0.3
mysql-connector-python             9.1.0
mysqlclient                        2.2.1
namex                              0.0.8
nano                               0.10.0
nbclient                           0.9.0
nbconvert                          7.13.0
nbformat                           5.9.2
nest-asyncio                       1.5.8
networkx                           3.2.1
ninja                              1.11.1.1
nltk                               3.8.1
notebook_shim                      0.2.3
numpy                              1.26.4
openai                             0.28.0
opencv-contrib-python              4.9.0.80
opencv-python                      4.9.0.80
opencv-python-headless             4.10.0.84
openpyexcel                        2.5.14
openpyxl                           3.1.2
opt-einsum                         3.3.0
optree                             0.11.0
ordered-set                        4.1.0
outcome                            1.3.0.post0
overrides                          7.4.0
packaging                          23.2
pandas                             2.1.4
pandocfilters                      1.5.0
parso                              0.8.3
passlib                            1.7.4
patsy                              0.5.6
pdfkit                             1.0.0
phonenumbers                       8.13.26
Pillow                             10.1.0
Pint                               0.23
pip                                24.3.1
platformdirs                       4.1.0
plotly                             5.18.0
pluggy                             1.5.0
pptree                             3.1
preshed                            3.0.9
prometheus-client                  0.19.0
prompt-toolkit                     3.0.43
propcache                          0.2.0
proto-plus                         1.22.3
protobuf                           4.25.5
psutil                             5.9.7
pure-eval                          0.2.2
py-cpuinfo                         9.0.0
pyarrow                            15.0.1
pyasn1                             0.5.0
pyasn1-modules                     0.3.0
PyAudio                            0.2.14
PyAutoGUI                          0.9.54
pyclipper                          1.3.0.post6
pycparser                          2.21
pycryptodome                       3.21.0
pydantic                           2.10.1
pydantic_core                      2.27.1
pydantic-settings                  2.6.1
pydeck                             0.8.1b0
PyGetWindow                        0.0.9
Pygments                           2.17.2
PyJWT                              2.8.0
pymongo                            3.13.0
PyMsgBox                           1.0.9
pyparsing                          3.1.1
pyperclip                          1.8.2
pypiwin32                          223
PyQt5                              5.15.10
PyQt5-Qt5                          5.15.2
PyQt5-sip                          12.13.0
PyRect                             0.2.0
pyscreenshot                       2.2
PyScreeze                          0.1.30
PySocks                            1.7.1
pytesseract                        0.3.13
pytest                             7.4.3
pytest-cov                         4.1.0
python-bidi                        0.6.3
python-dateutil                    2.8.2
python-dotenv                      1.0.0
python-frontmatter                 1.1.0
python-json-logger                 2.0.7
python-multipart                   0.0.17
python-pptx                        1.0.2
python-slugify                     8.0.4
pytorch_revgrad                    0.2.0
pyttsx3                            2.90
pytweening                         1.2.0
pytz                               2024.2
PyWavelets                         1.7.0
pywin32                            306
pywinpty                           2.0.12
PyYAML                             5.1
pyzmq                              25.1.2
random-user-agent                  1.0.1
referencing                        0.32.0
regex                              2023.12.25
reportlab                          4.2.5
requests                           2.31.0
rfc3339-validator                  0.1.4
rfc3986-validator                  0.1.1
rich                               13.7.1
rpds-py                            0.15.2
rsa                                4.9
s3transfer                         0.10.2
safetensors                        0.4.2
scikit-image                       0.24.0
scikit-learn                       1.6.0
scikit-surprise                    1.1.4
scipy                              1.15.0
seaborn                            0.13.2
secret                             0.8
segtok                             1.5.11
selenium                           4.15.2
semver                             3.0.2
Send2Trash                         1.8.2
sentence-transformers              3.0.1
sentencepiece                      0.2.0
setuptools                         75.6.0
shapely                            2.0.6
silpa_common                       0.3
six                                1.17.0
sketch                             0.5.2
smart-open                         6.4.0
smmap                              5.0.1
sniffio                            1.3.0
sortedcontainers                   2.4.0
sounddevice                        0.4.6
soundex                            1.1.3
soupsieve                          2.5
spacy                              3.7.5
spacy-legacy                       3.0.12
spacy-loggers                      1.0.5
SpeechRecognition                  3.10.4
spellchecker                       0.4
SQLAlchemy                         2.0.22
sqlitedict                         2.1.0
sqlparse                           0.5.0
srsly                              2.4.8
stack-data                         0.6.3
starlette                          0.27.0
statsmodels                        0.14.4
streamlit                          1.32.2
surprise                           0.1
sympy                              1.12
tabulate                           0.9.0
tbb                                2021.12.0
tenacity                           8.2.3
tensorboard                        2.16.2
tensorboard-data-server            0.7.2
tensorflow                         2.16.1
tensorflow-intel                   2.16.1
termcolor                          2.4.0
terminado                          0.18.0
tesseract                          0.1.3
text-unidecode                     1.3
textblob                           0.18.0.post0
thinc                              8.2.3
threadpoolctl                      3.5.0
tifffile                           2024.9.20
timm                               1.0.9
tinycss2                           1.2.1
tokenizers                         0.15.2
toml                               0.10.2
toolz                              0.12.1
torch                              2.3.1
torchsummary                       1.5.1
torchtext                          0.18.0
torchvision                        0.18.1
tornado                            6.4
tqdm                               4.66.1
traitlets                          5.14.0
transformer-smaller-training-vocab 0.4.0
transformers                       4.39.1
trio                               0.23.1
trio-websocket                     0.11.1
typer                              0.9.0
types-python-dateutil              2.8.19.14
typing_extensions                  4.12.2
tzdata                             2024.2
ultralytics                        8.2.28
ultralytics-thop                   0.2.7
uri-template                       1.3.0
urllib3                            1.26.15
uvicorn                            0.24.0.post1
virtualenv                         20.25.3
virtualenvwrapper-win              1.2.7
wasabi                             1.1.2
watchdog                           4.0.0
wcwidth                            0.2.12
weasel                             0.3.4
webcolors                          1.13
webdriver-manager                  4.0.2
webencodings                       0.5.1
websocket-client                   1.7.0
Werkzeug                           3.0.1
wget                               3.2
wheel                              0.45.1
Wikipedia-API                      0.6.0
win32-setctime                     1.1.0
wrapt                              1.16.0
wsproto                            1.2.0
WTForms                            3.2.1
xgboost                            2.1.1
XlsxWriter                         3.2.2
yarl                               1.16.0
zstandard                          0.23.0

